Date,Close,High,Low,Open,Volume,RSI,MA10,MA20,MA50,MACD
2025-04-22,58078.125,58375.96153846154,54305.52884615385,57681.00961538462,3850700,36.98928466829334,57571.8015625,60143.1234375,70372.31765625,619.0868530782154
2025-04-23,57581.73046875,58971.63430765086,57581.73046875,58971.63430765086,1928700,35.903594587183434,58117.83515625,59736.0802734375,69699.207109375,617.5615171390282
2025-04-24,57780.28515625,58177.40051814863,57581.727475300686,57780.28515625,1861200,36.703879936437644,58326.320703125,59358.8205078125,69038.01,631.4314692505554
2025-04-25,57085.3359375,58574.51861413044,57085.3359375,57780.287853260874,3682000,35.05416673451147,58097.979296875,58961.7052734375,68360.92828125,595.7633118945678
2025-04-28,57085.3359375,57879.56669836957,57085.3359375,57283.89362771739,1654600,35.05416673451147,57919.27734375,58599.3375,67683.8465625,573.9075814986377
2025-04-29,56886.77734375,58078.1234661322,56886.77734375,57283.8927178774,2432200,34.539743510875255,57651.224609375,58266.7533203125,67002.793671875,547.8753291804946
2025-04-30,56886.77734375,56886.77734375,56886.77734375,56886.77734375,0,34.539743510875255,57452.666796875,57909.3494140625,66321.74078125,532.0127944020014
2025-05-01,56886.77734375,56886.77734375,56886.77734375,56886.77734375,0,34.539743510875255,57373.24375,57537.0537109375,65638.702265625,522.1434170683228
2025-05-02,56886.77734375,56886.77734375,56886.77734375,56886.77734375,0,34.539743510875255,57293.820703125,57388.135546875,64955.66375,515.3577333162443
2025-05-05,56886.77734375,56886.77734375,56886.77734375,56886.77734375,0,34.539743510875255,57204.469921875,57254.1091796875,64244.827265625,509.6859611947598
2025-05-06,56688.21875,57581.72832749563,56588.93990805605,57085.334117775834,2101500,33.82081062788838,57065.479296875,57318.6404296875,63522.077265625,491.1764679815633
2025-05-07,56588.94140625,57581.72985197368,56588.94140625,56886.777939967105,2992900,33.445959311176836,56966.200390625,57542.0177734375,62815.211875,470.80724502637395
2025-05-08,56588.94140625,57085.33562911184,56588.94140625,56688.22025082236,2415400,33.445959311176836,56847.066015625,57586.693359375,62114.303203125,455.60275102593187
2025-05-09,56688.21875,57283.891801663754,56489.66106611209,56986.05527583187,3022300,34.29059980323811,56807.354296875,57452.666796875,61381.625390625,449.72969109623955
2025-05-12,56688.21875,56688.21875,56688.21875,56688.21875,0,34.29059980323811,56767.642578125,57343.4599609375,60662.846484375,442.65259568333886
2025-05-13,56191.82421875,56886.776108381186,55794.70885324647,56588.93958425354,5992500,31.940000542528296,56698.147265625,57174.6859375,60547.52359375,402.5041930702773
2025-05-14,56390.3828125,56886.77702739877,56191.82512654049,56688.21934143926,7392600,33.89210575287518,56648.5078125,57050.5873046875,60440.156328125,387.164877834967
2025-05-15,58276.6796875,58375.958528534924,56787.49707197615,56787.49707197615,8014200,48.88981079845915,56787.498046875,57080.3708984375,60370.515,495.0046173608141
2025-05-16,58276.6796875,59368.74693888416,58276.6796875,58872.35273370954,8070600,48.889810798459145,56926.48828125,57110.1544921875,60294.23296875,552.890189212276
2025-05-19,56588.94140625,57184.61447368421,56588.94140625,56986.05678453947,4784400,39.57356249186947,56896.7046875,57050.5873046875,60162.945859375,467.4633363862363
2025-05-20,56588.94140625,57184.61447368421,56588.94140625,56986.05678453947,4784400,39.57356249186947,56886.776953125,56976.128125,60009.080234375,403.3313197249886
2025-05-21,56688.21875,56986.05527583187,56390.38222416813,56588.93990805605,3867000,40.34901416713067,56896.7046875,56931.4525390625,59857.20015625,361.3247745937613
2025-05-22,56688.21875,57482.44948555167,56588.93990805605,57085.334117775834,5161800,40.34901416713067,56906.632421875,56876.84921875,59666.5846875,328.2289184863148
2025-05-23,56489.66015625,56986.05435797452,56489.66015625,56688.21783693981,3694300,39.182662283378306,56886.7765625,56847.0654296875,59495.825078125,289.0334034125467
2025-05-26,56588.94140625,56588.94140625,55596.15296052631,56489.66256167763,4728300,40.11479856657319,56876.848828125,56822.245703125,59317.123203125,266.41811136451906
2025-05-27,56588.94140625,56588.94140625,55596.15296052631,56489.66256167763,4728300,40.11479856657319,56916.560546875,56807.35390625,59112.60875,248.43739467334376
2025-05-28,56390.3828125,56787.49818441902,56291.10396952025,56390.3828125,5548900,38.7376643819188,56916.560546875,56782.5341796875,58914.05109375,221.0663342496532
2025-05-29,56390.3828125,57184.61355633803,56390.3828125,56688.21934143926,4950200,38.73766438191879,56727.930859375,56757.714453125,58721.45015625,201.4121152027202
2025-05-30,56291.10546875,56787.49969686949,56291.10546875,56787.49969686949,3904500,37.981571072204886,56529.3734375,56727.930859375,58520.906953125,180.83026236999876
2025-06-02,55794.7109375,56092.54747275356,55695.43209241548,56092.54747275356,3225700,34.369346365315835,56449.950390625,56673.3275390625,58326.32046875,134.99068147275727
2025-06-03,55794.7109375,56092.54747275356,55695.43209241548,56092.54747275356,3225700,34.369346365315835,56370.52734375,56628.6521484375,58121.80609375,107.0941007724781
2025-06-04,56390.3828125,56489.66165547976,55993.26744058099,56291.10396952025,3364000,42.0407379958684,56340.74375,56618.72421875,57935.161875,129.67652818501983
2025-06-05,56191.82421875,56588.93958425354,56092.54537737412,56489.660742877655,2690500,40.34775320278001,56291.104296875,56598.868359375,57752.48875,131.73291969409593
2025-06-06,55893.98828125,56390.38249333925,55893.98828125,56291.1036509214,2783100,37.88339031955402,56231.537109375,56559.1568359375,57569.815703125,114.18029599437477
